 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
180,20,100,brightness,indoor,control,,,,,9,19,Xreal
180,30,100,brightness,indoor,control,,,,,12,2,Xreal
180,40,100,brightness,indoor,control,,,,2,,,Xreal
180,50,100,brightness,indoor,control,4,2,4,14,,,Xreal
180,60,100,brightness,indoor,control,5,12,7,7,,,Xreal
180,70,100,brightness,indoor,control,5,11,6,5,,,Xreal
180,80,100,brightness,indoor,control,14,5,11,2,,,Xreal
180,90,100,brightness,indoor,control,2,,2,,,,Xreal
180,100,100,brightness,indoor,control,,,,,9,9,Xreal
180,100,20,saturation,indoor,control,,,,,30,16,Xreal
180,100,30,saturation,indoor,control,,,,,,,Xreal
180,100,40,saturation,indoor,control,,,,,,,Xreal
180,100,50,saturation,indoor,control,,,,,,,Xreal
180,100,60,saturation,indoor,control,,,,5,,,Xreal
180,100,70,saturation,indoor,control,,,5,7,,,Xreal
180,100,80,saturation,indoor,control,,16,18,16,,,Xreal
180,100,90,saturation,indoor,control,12,14,7,2,,,Xreal
180,100,100,saturation,indoor,control,18,,,,,14,Xreal
180,20,100,brightness,indoor,nature,,,,,5,18,Xreal
180,30,100,brightness,indoor,nature,,,,,7,,Xreal
180,40,100,brightness,indoor,nature,,,,2,9,,Xreal
180,50,100,brightness,indoor,nature,,,7,12,,,Xreal
180,60,100,brightness,indoor,nature,,3,14,16,,,Xreal
180,70,100,brightness,indoor,nature,5,2,8,,,,Xreal
180,80,100,brightness,indoor,nature,7,7,,,,,Xreal
180,90,100,brightness,indoor,nature,24,16,,,,,Xreal
180,100,100,brightness,indoor,nature,4,2,,,9,12,Xreal
180,100,20,saturation,indoor,nature,,,,,30,16,Xreal
180,100,30,saturation,indoor,nature,,,,,,,Xreal
180,100,40,saturation,indoor,nature,,,,,,,Xreal
180,100,50,saturation,indoor,nature,,,,,,,Xreal
180,100,60,saturation,indoor,nature,,,,2,,,Xreal
180,100,70,saturation,indoor,nature,,2,5,7,,,Xreal
180,100,80,saturation,indoor,nature,2,7,18,19,,,Xreal
180,100,90,saturation,indoor,nature,9,21,7,2,,,Xreal
180,100,100,saturation,indoor,nature,19,,,,,14,Xreal
180,20,100,brightness,outdoor,control,,,,,7,18,Xreal
180,30,100,brightness,outdoor,control,,,,,14,,Xreal
180,40,100,brightness,outdoor,control,,,,,2,,Xreal
180,50,100,brightness,outdoor,control,,2,,7,,,Xreal
180,60,100,brightness,outdoor,control,,5,11,14,,,Xreal
