hue,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device,
270,20,100,brightness,indoor,control,,,,,5,21,Xreal,
270,30,100,brightness,indoor,control,,,,,,,Xreal,
270,40,100,brightness,indoor,control,,,7,,,,Xreal,
270,50,100,brightness,indoor,control,,,,12,,,Xreal,
270,60,100,brightness,indoor,control,,8,,9,2,,Xreal,
270,70,100,brightness,indoor,control,7,3,,2,14,,Xreal,
270,80,100,brightness,indoor,control,16,7,9,5,,,Xreal,
270,90,100,brightness,indoor,control,7,12,14,,,,Xreal,
270,100,100,brightness,indoor,control,,,,2,9,9,Xreal,
270,100,20,saturation,indoor,control,,,,,30,16,Xreal,
270,100,30,saturation,indoor,control,,,,,,,Xreal,
270,100,40,saturation,indoor,control,,,,,,,Xreal,
270,100,50,saturation,indoor,control,,,,,,,Xreal,
270,100,60,saturation,indoor,control,,,,5,,,Xreal,
270,100,70,saturation,indoor,control,,,2,18,,,Xreal,
270,100,80,saturation,indoor,control,,14,16,5,,,Xreal,
270,100,90,saturation,indoor,control,16,11,12,2,,,Xreal,
270,100,100,saturation,indoor,control,14,5,,,,14,Xreal,
270,20,100,brightness,indoor,nature,,,,,7,16,Xreal,
270,30,100,brightness,indoor,nature,,,,,,,Xreal,
270,40,100,brightness,indoor,nature,,,2,,,,Xreal,
270,50,100,brightness,indoor,nature,,,5,15,,,Xreal,
270,60,100,brightness,indoor,nature,,5,11,10,,,Xreal,
270,70,100,brightness,indoor,nature,9,9,7,,,,Xreal,
270,80,100,brightness,indoor,nature,14,7,,,16,,Xreal,
270,90,100,brightness,indoor,nature,7,5,5,3,,,Xreal,
270,100,100,brightness,indoor,nature,,4,,2,7,14,Xreal,
270,100,20,saturation,indoor,nature,,,,,30,16,Xreal,
270,100,30,saturation,indoor,nature,,,,,,,Xreal,
270,100,40,saturation,indoor,nature,,,,,,,Xreal,
270,100,50,saturation,indoor,nature,,,,,,,Xreal,
270,100,60,saturation,indoor,nature,,,,,,,Xreal,
270,100,70,saturation,indoor,nature,,,9,18,,,Xreal,
270,100,80,saturation,indoor,nature,,9,16,12,,,Xreal,
270,100,90,saturation,indoor,nature,16,19,5,,,,Xreal,
270,100,100,saturation,indoor,nature,14,2,,,,14,Xreal,
270,20,100,brightness,outdoor,control,,,,,2,14,Xreal,
270,30,100,brightness,outdoor,control,,3,,,7,,Xreal,
270,40,100,brightness,outdoor,control,5,,,7,9,,Xreal,
270,50,100,brightness,outdoor,control,,5,9,12,,,Xreal,
270,60,100,brightness,outdoor,control,8,9,16,7,,,Xreal,
270,70,100,brightness,outdoor,control,15,9,5,2,,,Xreal,
270,80,100,brightness,outdoor,control,,2,,2,,,Xreal,
270,90,100,brightness,outdoor,control,,2,,,,,Xreal,
270,100,100,brightness,outdoor,control,2,,,,12,16,Xreal,
270,100,20,saturation,outdoor,control,,,,,30,16,Xreal,
270,100,30,saturation,outdoor,control,,,,,,,Xreal,
270,100,40,saturation,outdoor,control,,,,,,,Xreal,
270,100,50,saturation,outdoor,control,,,,,,,Xreal,
270,100,60,saturation,outdoor,control,,,,,,,Xreal,
