hue,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
30,20,100,brightness,indoor,control,,,,,3,17,Xreal
30,30,100,brightness,indoor,control,,,,,9,2,Xreal
30,40,100,brightness,indoor,control,,,,,7,,Xreal
30,50,100,brightness,indoor,control,,4,3,8,2,,Xreal
30,60,100,brightness,indoor,control,,,3,12,,,Xreal
30,70,100,brightness,indoor,control,6,12,16,5,,,Xreal
30,80,100,brightness,indoor,control,8,6,8,4,,,Xreal
30,90,100,brightness,indoor,control,8,6,,1,,,Xreal
30,100,100,brightness,indoor,control,8,2,,,9,11,Xreal
30,100,20,saturation,indoor,control,,,,,30,17,Xreal
30,100,30,saturation,indoor,control,,,,,,,Xreal
30,100,40,saturation,indoor,control,,,,,,,Xreal
30,100,50,saturation,indoor,control,,,,,,,Xreal
30,100,60,saturation,indoor,control,,,,,,,Xreal
30,100,70,saturation,indoor,control,,,6,4,,,Xreal
30,100,80,saturation,indoor,control,4,8,16,12,,,Xreal
30,100,90,saturation,indoor,control,8,16,8,14,,,Xreal
30,100,100,saturation,indoor,control,18,6,,,,13,Xreal
30,20,100,brightness,indoor,nature,,,,,9,9,Xreal
30,30,100,brightness,indoor,nature,,,,,6,,Xreal
30,40,100,brightness,indoor,nature,,,,,,,Xreal
30,50,100,brightness,indoor,nature,,,12,9,,,Xreal
30,60,100,brightness,indoor,nature,,2,9,9,,,Xreal
30,70,100,brightness,indoor,nature,5,14,3,7,,,Xreal
30,80,100,brightness,indoor,nature,7,10,3,5,,,Xreal
30,90,100,brightness,indoor,nature,18,4,3,,,,Xreal
30,100,100,brightness,indoor,nature,,,,,15,21,Xreal
30,100,20,saturation,indoor,nature,,,,,30,17,Xreal
30,100,30,saturation,indoor,nature,,,,,,,Xreal
30,100,40,saturation,indoor,nature,,,,,,,Xreal
30,100,50,saturation,indoor,nature,,,,,,,Xreal
30,100,60,saturation,indoor,nature,,,,,,,Xreal
30,100,70,saturation,indoor,nature,,,6,4,,,Xreal
30,100,80,saturation,indoor,nature,4,8,16,12,,,Xreal
30,100,90,saturation,indoor,nature,8,16,8,14,,,Xreal
30,100,100,saturation,indoor,nature,18,6,,,,13,Xreal
30,20,100,brightness,outdoor,control,,,,,5,22,Xreal
30,30,100,brightness,outdoor,control,,,,,3,,Xreal
30,40,100,brightness,outdoor,control,,1,,3,3,,Xreal
30,50,100,brightness,outdoor,control,,7,13,8,2,,Xreal
30,60,100,brightness,outdoor,control,4,6,11,5,,,Xreal
30,70,100,brightness,outdoor,control,6,8,3,13,,,Xreal
30,80,100,brightness,outdoor,control,20,8,3,,,,Xreal
30,90,100,brightness,outdoor,control,,,,,,,Xreal
30,100,100,brightness,outdoor,control,,1,,,17,8,Xreal
30,100,20,saturation,outdoor,control,,,,,30,17,Xreal
30,100,30,saturation,outdoor,control,,,,,,,Xreal
30,100,40,saturation,outdoor,control,,,,,,,Xreal
30,100,50,saturation,outdoor,control,,,,,,,Xreal
30,100,60,saturation,outdoor,control,,,,,,,Xreal
30,100,70,saturation,outdoor,control,,,6,4,,,Xreal
30,100,80,saturation,outdoor,control,4,8,16,12,,,Xreal
30,100,90,saturation,outdoor,control,8,16,8,14,,,Xreal
30,100,100,saturation,outdoor,control,18,6,,,,13,Xreal
30,20,100,brightness,outdoor,nature,,,,,1,6,Xreal
30,30,100,brightness,outdoor,nature,,,,,5,,Xreal
30,40,100,brightness,outdoor,nature,,,2,,,,Xreal
30,50,100,brightness,outdoor,nature,,,9,18,,,Xreal
30,60,100,brightness,outdoor,nature,11,3,11,6,,,Xreal
30,70,100,brightness,outdoor,nature,5,9,4,6,,,Xreal
30,80,100,brightness,outdoor,nature,5,18,4,,4,,Xreal
30,90,100,brightness,outdoor,nature,9,,,,4,,Xreal
30,100,100,brightness,outdoor,nature,,,,,17,24,Xreal
30,100,20,saturation,outdoor,nature,,,,,21,17,Xreal
30,100,30,saturation,outdoor,nature,,,,,,,Xreal
