user id,hue 30,hue 45,hue 60,hue 75,hue 135,hue 180,hue 195,hue 240,hue 270,hue 285,hue 315,hue 345
p1,4,4,5,4,5,5,4,2,2,3,3,3
p2,4,4,4,5,5,5,3,1,2,3,3,3
p3,4,4,3,4,5,4,2,1,2,3,4,4
p4,4,4,4,5,5,5,3,2,2,3,3,4
p5,3,4,3,4,5,5,3,1,2,3,3,3
p6,2,2,3,4,5,4,4,1,1,2,4,4
p7,3,3,4,5,5,4,3,2,3,4,4,4
p8,4,4,5,5,5,5,3,2,2,3,4,4
p9,4,4,4,4,5,5,4,3,3,4,4,4
p10,3,4,3,5,5,5,3,1,2,2,3,3
p11,4,3,2,4,5,4,3,1,3,3,4,4
p12,4,4,4,5,5,5,4,2,2,3,4,4
p13,4,4,4,4,5,4,3,1,2,3,3,4
p14,3,4,4,5,4,5,3,1,2,3,4,3
p15,4,4,3,4,5,5,4,1,1,2,4,4
p16,2,4,4,5,4,5,3,2,3,4,3,4
p17,3,3,3,4,5,4,3,2,2,3,3,4
p18,4,4,3,4,5,5,4,1,3,4,4,4
p19,4,4,2,5,5,5,3,2,2,2,4,3
p20,4,4,4,5,4,5,3,1,2,2,4,4
p21,3,3,4,4,5,4,4,1,2,3,4,4
p22,3,3,4,5,4,4,3,2,1,3,3,4
p23,3,3,4,5,5,5,3,2,3,3,4,4
p24,4,3,2,5,4,4,3,3,2,3,4,3
p25,3,4,3,4,5,4,3,1,3,2,3,3
p26,4,2,4,4,5,5,4,1,2,4,3,3
p27,4,4,4,4,5,5,3,2,3,3,4,4
p28,2,4,3,4,5,4,3,1,2,2,3,3
p29,4,4,4,5,5,4,4,2,3,3,3,4
p30,3,4,3,4,5,5,4,1,2,3,3,3
