 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
195,20,100,brightness,indoor,control,,,,,5,21,Xreal
195,30,100,brightness,indoor,control,,,,,7,2,Xreal
195,40,100,brightness,indoor,control,,,,,,,Xreal
195,50,100,brightness,indoor,control,,,,4,,,Xreal
195,60,100,brightness,indoor,control,,,12,3,,,Xreal
195,70,100,brightness,indoor,control,7,12,18,10,,,Xreal
195,80,100,brightness,indoor,control,12,9,,5,,,Xreal
195,90,100,brightness,indoor,control,9,7,,8,,,Xreal
195,100,100,brightness,indoor,control,2,2,,,18,7,Xreal
195,100,20,saturation,indoor,control,,,,,30,16,Xreal
195,100,30,saturation,indoor,control,,,,,,,Xreal
195,100,40,saturation,indoor,control,,,,,,,Xreal
195,100,50,saturation,indoor,control,,,,,,,Xreal
195,100,60,saturation,indoor,control,,,,,,,Xreal
195,100,70,saturation,indoor,control,,,5,9,,,Xreal
195,100,80,saturation,indoor,control,,9,16,7,,,Xreal
195,100,90,saturation,indoor,control,12,16,9,14,,,Xreal
195,100,100,saturation,indoor,control,18,5,,,,14,Xreal
195,20,100,brightness,indoor,nature,,,,,2,14,Xreal
195,30,100,brightness,indoor,nature,,,,,14,9,Xreal
195,40,100,brightness,indoor,nature,,,,,5,,Xreal
195,50,100,brightness,indoor,nature,,,,,,,Xreal
195,60,100,brightness,indoor,nature,,,,7,,,Xreal
195,70,100,brightness,indoor,nature,,,18,7,,,Xreal
195,80,100,brightness,indoor,nature,12,23,7,16,,,Xreal
195,90,100,brightness,indoor,nature,16,5,5,,,,Xreal
195,100,100,brightness,indoor,nature,2,2,,,9,7,Xreal
195,100,20,saturation,indoor,nature,,,,,30,12,Xreal
195,100,30,saturation,indoor,nature,,,,,,,Xreal
195,100,40,saturation,indoor,nature,,,,,,,Xreal
195,100,50,saturation,indoor,nature,,,,,,,Xreal
195,100,60,saturation,indoor,nature,,9,,19,,,Xreal
195,100,70,saturation,indoor,nature,5,5,19,8,,,Xreal
195,100,80,saturation,indoor,nature,11,9,9,1,,,Xreal
195,100,90,saturation,indoor,nature,5,7,2,2,,,Xreal
195,100,100,saturation,indoor,nature,9,,,,,18,Xreal
195,20,100,brightness,outdoor,control,,,,,2,25,Xreal
195,30,100,brightness,outdoor,control,,,,,5,,Xreal
195,40,100,brightness,outdoor,control,,,,,12,,Xreal
195,50,100,brightness,outdoor,control,,,,5,,,Xreal
195,60,100,brightness,outdoor,control,,,21,16,,,Xreal
195,70,100,brightness,outdoor,control,11,2,9,9,,,Xreal
195,80,100,brightness,outdoor,control,13,14,,,,,Xreal
195,90,100,brightness,outdoor,control,6,14,,,,,Xreal
195,100,100,brightness,outdoor,control,,,,,11,5,Xreal
195,100,20,saturation,outdoor,control,,,,,30,9,Xreal
195,100,30,saturation,outdoor,control,,,,,,,Xreal
195,100,40,saturation,outdoor,control,,,,,,,Xreal
195,100,50,saturation,outdoor,control,,,,,,,Xreal
195,100,60,saturation,outdoor,control,,,,,,,Xreal
195,100,70,saturation,outdoor,control,,9,,14,,,Xreal
195,100,80,saturation,outdoor,control,2,9,20,16,,,Xreal
195,100,90,saturation,outdoor,control,12,12,10,,,,Xreal
195,100,100,saturation,outdoor,control,16,,,,,21,Xreal
195,20,100,brightness,outdoor,nature,,,,,,14,Xreal
195,30,100,brightness,outdoor,nature,,,,,7,,Xreal
195,40,100,brightness,outdoor,nature,,,,,,,Xreal
195,50,100,brightness,outdoor,nature,,,,9,,,Xreal
195,60,100,brightness,outdoor,nature,,,14,14,,,Xreal
195,70,100,brightness,outdoor,nature,,2,5,6,,,Xreal
195,80,100,brightness,outdoor,nature,7,12,9,,,,Xreal
195,90,100,brightness,outdoor,nature,18,14,2,,,,Xreal
195,100,100,brightness,outdoor,nature,5,2,,,23,16,Xreal
195,100,20,saturation,outdoor,nature,,,,,30,16,Xreal
195,100,30,saturation,outdoor,nature,,,,,,,Xreal
195,100,40,saturation,outdoor,nature,,,,,,,Xreal
195,100,50,saturation,outdoor,nature,,,,,,,Xreal
195,100,60,saturation,outdoor,nature,,,,,,,Xreal
195,100,70,saturation,outdoor,nature,,,,7,,,Xreal
195,100,80,saturation,outdoor,nature,,14,12,14,,,Xreal
195,100,90,saturation,outdoor,nature,14,16,18,9,,,Xreal
195,100,100,saturation,outdoor,nature,16,,,,,14,Xreal
195,20,100,brightness,indoor,control,,,,,,30,hololens
195,30,100,brightness,indoor,control,,,,,10,,hololens
195,40,100,brightness,indoor,control,,,,,4,,hololens
195,50,100,brightness,indoor,control,,,,,10,,hololens
195,60,100,brightness,indoor,control,,,,,6,,hololens
195,70,100,brightness,indoor,control,,,,18,,,hololens
195,80,100,brightness,indoor,control,,18,24,6,,,hololens
195,90,100,brightness,indoor,control,12,12,6,6,,,hololens
195,100,100,brightness,indoor,control,18,,,,,,hololens
195,100,20,saturation,indoor,control,,,,,30,18,hololens
195,100,30,saturation,indoor,control,,,,,,,hololens
195,100,40,saturation,indoor,control,,,,,,,hololens
195,100,50,saturation,indoor,control,,,,,,,hololens
195,100,60,saturation,indoor,control,,,,,,,hololens
195,100,70,saturation,indoor,control,,,,24,,,hololens
195,100,80,saturation,indoor,control,,,24,6,,,hololens
195,100,90,saturation,indoor,control,,30,6,,,,hololens
195,100,100,saturation,indoor,control,30,,,,,12,hololens
195,20,100,brightness,indoor,nature,,,,,6,30,hololens
195,30,100,brightness,indoor,nature,,,,,,,hololens
195,40,100,brightness,indoor,nature,,,,,24,,hololens
195,50,100,brightness,indoor,nature,,,,,,,hololens
195,60,100,brightness,indoor,nature,,,,,,,hololens
195,70,100,brightness,indoor,nature,,,,30,,,hololens
195,80,100,brightness,indoor,nature,,,18,,,,hololens
195,90,100,brightness,indoor,nature,12,24,12,,,,hololens
195,100,100,brightness,indoor,nature,18,6,,,,,hololens
195,100,20,saturation,indoor,nature,,,,,30,18,hololens
195,100,30,saturation,indoor,nature,,,,,,,hololens
195,100,40,saturation,indoor,nature,,,,,,,hololens
195,100,50,saturation,indoor,nature,,,,,,,hololens
195,100,60,saturation,indoor,nature,,,,,,,hololens
195,100,70,saturation,indoor,nature,,,,,,,hololens
195,100,80,saturation,indoor,nature,,,6,24,,,hololens
195,100,90,saturation,indoor,nature,,30,24,6,,,hololens
195,100,100,saturation,indoor,nature,30,,,,,12,hololens
195,20,100,brightness,outdoor,control,,,,,,24,hololens
195,30,100,brightness,outdoor,control,,,,,6,,hololens
195,40,100,brightness,outdoor,control,,,,,,,hololens
195,50,100,brightness,outdoor,control,,,,,24,,hololens
195,60,100,brightness,outdoor,control,,,,12,,,hololens
195,70,100,brightness,outdoor,control,,,6,18,,,hololens
195,80,100,brightness,outdoor,control,12,12,18,,,,hololens
195,90,100,brightness,outdoor,control,12,18,6,,,,hololens
195,100,100,brightness,outdoor,control,6,,,,,6,hololens
195,100,20,saturation,outdoor,control,,,,,30,18,hololens
195,100,30,saturation,outdoor,control,,,,,,,hololens
195,100,40,saturation,outdoor,control,,,,,,,hololens
195,100,50,saturation,outdoor,control,,,,,,,hololens
195,100,60,saturation,outdoor,control,,,,,,,hololens
195,100,70,saturation,outdoor,control,,,,6,,,hololens
195,100,80,saturation,outdoor,control,,,12,12,,,hololens
195,100,90,saturation,outdoor,control,10,24,18,6,,,hololens
195,100,100,saturation,outdoor,control,20,6,,6,,12,hololens
195,20,100,brightness,outdoor,nature,,,,,12,24,hololens
195,30,100,brightness,outdoor,nature,,,,,12,,hololens
195,40,100,brightness,outdoor,nature,,,,,,,hololens
195,50,100,brightness,outdoor,nature,,,,,6,,hololens
195,60,100,brightness,outdoor,nature,,,,,,,hololens
195,70,100,brightness,outdoor,nature,,18,12,18,,,hololens
195,80,100,brightness,outdoor,nature,,,12,12,,,hololens
195,90,100,brightness,outdoor,nature,18,,6,,,,hololens
195,100,100,brightness,outdoor,nature,12,12,,,,6,hololens
195,100,20,saturation,outdoor,nature,,,,,30,18,hololens
195,100,30,saturation,outdoor,nature,,,,,,,hololens
195,100,40,saturation,outdoor,nature,,,,,,,hololens
195,100,50,saturation,outdoor,nature,,,,,,,hololens
195,100,60,saturation,outdoor,nature,,,,,,,hololens
195,100,70,saturation,outdoor,nature,,,,,,,hololens
195,100,80,saturation,outdoor,nature,,,,,,,hololens
195,100,90,saturation,outdoor,nature,,30,24,12,,,hololens
195,100,100,saturation,outdoor,nature,30,,6,18,,12,hololens
