            ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
240,20,100,brightness,indoor,control,,,,,5,23,Xreal
240,30,100,brightness,indoor,control,,,,14,2,,Xreal
240,40,100,brightness,indoor,control,,,9,5,,,Xreal
240,50,100,brightness,indoor,control,7,,14,2,,,Xreal
240,60,100,brightness,indoor,control,2,5,5,2,,,Xreal
240,70,100,brightness,indoor,control,2,18,,7,,,Xreal
240,80,100,brightness,indoor,control,14,5,2,,,,Xreal
240,90,100,brightness,indoor,control,5,2,,,,,Xreal
240,100,100,brightness,indoor,control,,,,,23,7,Xreal
240,100,20,saturation,indoor,control,,,,,30,9,Xreal
240,100,30,saturation,indoor,control,,,,,,,Xreal
240,100,40,saturation,indoor,control,,,,,,,Xreal
240,100,50,saturation,indoor,control,,,,,,,Xreal
240,100,60,saturation,indoor,control,,,,,,,Xreal
240,100,70,saturation,indoor,control,,,,14,,,Xreal
240,100,80,saturation,indoor,control,,17,21,11,,,Xreal
240,100,90,saturation,indoor,control,9,13,9,5,,,Xreal
240,100,100,saturation,indoor,control,21,,,,,21,Xreal
240,20,100,brightness,indoor,nature,,,,,16,23,Xreal
240,30,100,brightness,indoor,nature,,,,,2,,Xreal
240,40,100,brightness,indoor,nature,,,14,7,,,Xreal
240,50,100,brightness,indoor,nature,,3,9,19,,,Xreal
240,60,100,brightness,indoor,nature,3,2,,2,,,Xreal
240,70,100,brightness,indoor,nature,2,14,7,,,,Xreal
240,80,100,brightness,indoor,nature,16,9,,2,,,Xreal
240,90,100,brightness,indoor,nature,9,2,,,,,Xreal
240,100,100,brightness,indoor,nature,,,,,12,7,Xreal
240,100,20,saturation,indoor,nature,,,,,30,16,Xreal
240,100,30,saturation,indoor,nature,,,,,,,Xreal
240,100,40,saturation,indoor,nature,,,,,,,Xreal
240,100,50,saturation,indoor,nature,,,,,,,Xreal
240,100,60,saturation,indoor,nature,,,,,,,Xreal
240,100,70,saturation,indoor,nature,,,5,17,,,Xreal
240,100,80,saturation,indoor,nature,2,14,18,13,,,Xreal
240,100,90,saturation,indoor,nature,12,16,7,,,,Xreal
240,100,100,saturation,indoor,nature,16,,,,,14,Xreal
240,20,100,brightness,outdoor,control,,,,,2,21,Xreal
240,30,100,brightness,outdoor,control,,,2,2,7,,Xreal
240,40,100,brightness,outdoor,control,2,3,2,12,9,,Xreal
240,50,100,brightness,outdoor,control,2,9,21,7,,,Xreal
240,60,100,brightness,outdoor,control,5,7,5,7,,,Xreal
240,70,100,brightness,outdoor,control,7,9,,2,,,Xreal
240,80,100,brightness,outdoor,control,12,2,,,,,Xreal
240,90,100,brightness,outdoor,control,2,,,,,,Xreal
240,100,100,brightness,outdoor,control,,,,,12,9,Xreal
240,100,20,saturation,outdoor,control,,,,,30,12,Xreal
240,100,30,saturation,outdoor,control,,,,,,,Xreal
240,100,40,saturation,outdoor,control,,,,,,,Xreal
240,100,50,saturation,outdoor,control,,,,,,,Xreal
240,100,60,saturation,outdoor,control,,,,,,,Xreal
240,100,70,saturation,outdoor,control,,2,2,14,,,Xreal
240,100,80,saturation,outdoor,control,2,7,19,9,,,Xreal
240,100,90,saturation,outdoor,control,13,19,9,7,,,Xreal
240,100,100,saturation,outdoor,control,15,2,,,,18,Xreal
240,20,100,brightness,outdoor,nature,,,,,2,21,Xreal
240,30,100,brightness,outdoor,nature,,,,,5,,Xreal
240,40,100,brightness,outdoor,nature,,,,2,9,,Xreal
240,50,100,brightness,outdoor,nature,5,9,5,16,,,Xreal
240,60,100,brightness,outdoor,nature,4,11,21,12,,,Xreal
240,70,100,brightness,outdoor,nature,,5,4,,,,Xreal
240,80,100,brightness,outdoor,nature,14,5,,,,,Xreal
240,90,100,brightness,outdoor,nature,7,,,,,,Xreal
240,100,100,brightness,outdoor,nature,,,,,14,9,Xreal
240,100,20,saturation,outdoor,nature,,,,,30,16,Xreal
240,100,30,saturation,outdoor,nature,,,,,,,Xreal
240,100,40,saturation,outdoor,nature,,,,,,,Xreal
240,100,50,saturation,outdoor,nature,,,,,,,Xreal
240,100,60,saturation,outdoor,nature,,,,,,,Xreal
240,100,70,saturation,outdoor,nature,,,,9,,,Xreal
240,100,80,saturation,outdoor,nature,2,5,23,16,,,Xreal
240,100,90,saturation,outdoor,nature,14,18,7,5,,,Xreal
6,100,100,saturation,outdoor,nature,14,7,,,,14,Xreal
240,20,100,brightness,indoor,control,,,,,,,hololens
240,30,100,brightness,indoor,control,,,,,,,hololens
240,40,100,brightness,indoor,control,,,8,8,,,hololens
240,50,100,brightness,indoor,control,23,,7,15,,,hololens
240,60,100,brightness,indoor,control,,30,15,2,,,hololens
240,70,100,brightness,indoor,control,7,,,5,,,hololens
240,80,100,brightness,indoor,control,,,,,,,hololens
240,90,100,brightness,indoor,control,,,,,,,hololens
240,100,100,brightness,indoor,control,,,,,30,30,hololens
240,100,20,saturation,indoor,control,,,,,30,23,hololens
240,100,30,saturation,indoor,control,,,,,,,hololens
240,100,40,saturation,indoor,control,,,,,,,hololens
240,100,50,saturation,indoor,control,,,,,,,hololens
240,100,60,saturation,indoor,control,,,,,,,hololens
240,100,70,saturation,indoor,control,,,,15,,,hololens
240,100,80,saturation,indoor,control,,,15,8,,,hololens
240,100,90,saturation,indoor,control,,30,15,2,,,hololens
240,100,100,saturation,indoor,control,30,,,5,,7,hololens
240,20,100,brightness,indoor,nature,,,,,,2,hololens
240,30,100,brightness,indoor,nature,8,,,,,,hololens
240,40,100,brightness,indoor,nature,,8,,,,,hololens
