 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device,,
45,20,100,brightness,indoor,control,,,,,,16,Xreal,,
45,30,100,brightness,indoor,control,,,,,4,7,Xreal,,
45,40,100,brightness,indoor,control,,,,11,5,,Xreal,,
45,50,100,brightness,indoor,control,,,2,12,14,,Xreal,,
45,60,100,brightness,indoor,control,,,5,7,,,Xreal,,
45,70,100,brightness,indoor,control,11,,23,,,,Xreal,,
45,80,100,brightness,indoor,control,14,7,,,,,Xreal,,
45,90,100,brightness,indoor,control,5,18,,,,,Xreal,,
45,100,100,brightness,indoor,control,,5,,,7,7,Xreal,,
45,100,20,saturation,indoor,control,,,,,30,14,Xreal,,
45,100,30,saturation,indoor,control,,,,,,,Xreal,,
45,100,40,saturation,indoor,control,,,,,,,Xreal,,
45,100,50,saturation,indoor,control,,,,,,,Xreal,,
45,100,60,saturation,indoor,control,,,,,,,Xreal,,
45,100,70,saturation,indoor,control,,,,9,,,Xreal,,
45,100,80,saturation,indoor,control,,7,12,14,,,Xreal,,
45,100,90,saturation,indoor,control,14,16,16,7,,,Xreal,,
45,100,100,saturation,indoor,control,16,7,2,,,16,Xreal,,
45,20,100,brightness,indoor,nature,,,,,,14,Xreal,,
45,30,100,brightness,indoor,nature,,,,,5,,Xreal,,
45,40,100,brightness,indoor,nature,,,,,5,,Xreal,,
45,50,100,brightness,indoor,nature,,,2,5,,,Xreal,,
45,60,100,brightness,indoor,nature,,,14,15,,,Xreal,,
45,70,100,brightness,indoor,nature,7,14,9,5,,,Xreal,,
45,80,100,brightness,indoor,nature,16,12,5,,,,Xreal,,
45,90,100,brightness,indoor,nature,7,,,5,,,Xreal,,
45,100,100,brightness,indoor,nature,,5,,,20,15,Xreal,,
45,100,20,saturation,indoor,nature,,,,,30,18,Xreal,,
45,100,30,saturation,indoor,nature,,,,,,,Xreal,,
45,100,40,saturation,indoor,nature,,,,,,,Xreal,,
45,100,50,saturation,indoor,nature,,,,,,,Xreal,,
45,100,60,saturation,indoor,nature,,,,,,,Xreal,,
45,100,70,saturation,indoor,nature,,,,12,,,Xreal,,
45,100,80,saturation,indoor,nature,,7,21,7,,,Xreal,,
45,100,90,saturation,indoor,nature,18,16,9,12,,,Xreal,,
45,100,100,saturation,indoor,nature,12,7,,,,12,Xreal,,
45,20,100,brightness,outdoor,control,,,,,5,18,Xreal,,
45,30,100,brightness,outdoor,control,,,,,5,,Xreal,,
45,40,100,brightness,outdoor,control,,,,,7,,Xreal,,
45,50,100,brightness,outdoor,control,,,5,13,,,Xreal,,
45,60,100,brightness,outdoor,control,,,7,13,,,Xreal,,
45,70,100,brightness,outdoor,control,2,5,5,2,,,Xreal,,
45,80,100,brightness,outdoor,control,9,23,14,2,,,Xreal,,
45,90,100,brightness,outdoor,control,18,2,,,,,Xreal,,
45,100,100,brightness,outdoor,control,,,,,14,12,Xreal,,
45,100,20,saturation,outdoor,control,,,,,14,21,Xreal,,
45,100,30,saturation,outdoor,control,,,,,12,2,Xreal,,
45,100,40,saturation,outdoor,control,,,,,5,,Xreal,,
