hue,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
60,20,100,brightness,indoor,control,,,,,,16,Xreal
60,30,100,brightness,indoor,control,,,,,7,3,Xreal
60,40,100,brightness,indoor,control,,,2,7,15,,Xreal
60,50,100,brightness,indoor,control,,,12,12,2,,Xreal
60,60,100,brightness,indoor,control,,4,14,9,,,Xreal
60,70,100,brightness,indoor,control,2,15,2,,,,Xreal
60,80,100,brightness,indoor,control,19,4,,2,,,Xreal
60,90,100,brightness,indoor,control,9,7,,,,,Xreal
60,100,100,brightness,indoor,control,,,,,6,11,Xreal
60,100,20,saturation,indoor,control,,,,,30,14,Xreal
60,100,30,saturation,indoor,control,,,,,,,Xreal
60,100,40,saturation,indoor,control,,,,,,,Xreal
60,100,50,saturation,indoor,control,,,,,,,Xreal
60,100,60,saturation,indoor,control,,,,,,,Xreal
60,100,70,saturation,indoor,control,,,2,21,,,Xreal
60,100,80,saturation,indoor,control,,9,21,9,,,Xreal
60,100,90,saturation,indoor,control,14,19,7,,,,Xreal
60,100,100,saturation,indoor,control,16,2,,,,16,Xreal
60,20,100,brightness,indoor,nature,,,,,5,21,Xreal
60,30,100,brightness,indoor,nature,,,,,7,,Xreal
60,40,100,brightness,indoor,nature,,,2,16,2,,Xreal
60,50,100,brightness,indoor,nature,,,26,5,,,Xreal
60,60,100,brightness,indoor,nature,,,2,9,,,Xreal
60,70,100,brightness,indoor,nature,16,2,,,,,Xreal
60,80,100,brightness,indoor,nature,12,14,,,,,Xreal
60,90,100,brightness,indoor,nature,2,12,,,,,Xreal
60,100,100,brightness,indoor,nature,,2,,,16,9,Xreal
60,100,20,saturation,indoor,nature,,,,,30,9,Xreal
60,100,30,saturation,indoor,nature,,,,,,,Xreal
60,100,40,saturation,indoor,nature,,,,,,,Xreal
60,100,50,saturation,indoor,nature,,,,,,,Xreal
60,100,60,saturation,indoor,nature,,,,,,,Xreal
60,100,70,saturation,indoor,nature,,,,7,,,Xreal
60,100,80,saturation,indoor,nature,,5,23,18,,,Xreal
60,100,90,saturation,indoor,nature,16,23,7,5,,,Xreal
60,100,100,saturation,indoor,nature,14,2,,,,21,Xreal
60,20,100,brightness,outdoor,control,,,,,,21,Xreal
60,30,100,brightness,outdoor,control,,,,3,18,,Xreal
60,40,100,brightness,outdoor,control,,,,16,5,,Xreal
60,50,100,brightness,outdoor,control,,,9,2,2,,Xreal
60,60,100,brightness,outdoor,control,,,8,1,,,Xreal
60,70,100,brightness,outdoor,control,,5,13,5,,,Xreal
60,80,100,brightness,outdoor,control,5,21,,3,,,Xreal
60,90,100,brightness,outdoor,control,18,4,,,,,Xreal
60,100,100,brightness,outdoor,control,7,,,,5,9,Xreal
60,100,20,saturation,outdoor,control,,,,,30,18,Xreal
60,100,30,saturation,outdoor,control,,,,,,,Xreal
60,100,40,saturation,outdoor,control,,,,,,,Xreal
60,100,50,saturation,outdoor,control,,,,,,,Xreal
60,100,60,saturation,outdoor,control,,,,,,,Xreal
60,100,70,saturation,outdoor,control,,2,2,5,,,Xreal
60,100,80,saturation,outdoor,control,2,16,23,21,,,Xreal
60,100,90,saturation,outdoor,control,9,12,5,4,,,Xreal
60,100,100,saturation,outdoor,control,19,,,,,12,Xreal
